,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,Link,College WS
76,2001,12031,sirvaliant,brown,SirValiant Brown,PG,71.0,5' 11'',,,176.0,76.0,6' 4'',92.5,7' 8.5'',6.7,,,31.0,39.5,11.23,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,sirvaliant-brown-1,1.5
77,2001,2245,damone,brown,Damone Brown,SF,80.25,6' 8.25'',,,202.0,83.75,6' 11.75'',104.5,8' 8.5'',6.7,,,32.0,37.0,11.81,,3.27,6.0,,,,,,,,,,,,,,,,,,,,,,,,damone-brown-1,5.8
78,2001,12032,ryan,carroll,Ryan Carroll,SF-SG,76.0,6' 4'',,,202.0,80.25,6' 8.25'',99.0,8' 3'',8.0,,,34.5,39.0,11.0,,3.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,ryan-carroll-1,0.0
79,2001,2199,tyson,chandler,Tyson Chandler,SF-PF,83.5,6' 11.5'',,,224.0,87.0,7' 3'',110.0,9' 2'',6.7,,,31.0,33.5,12.13,,3.36,2.0,,,,,,,,,,,,,,,,,,,,,,,,tyson-chandler-1,N/A
80,2001,2251,eric,chenowith,Eric Chenowith,C,85.0,7' 1'',,,264.0,88.0,7' 4'',111.0,9' 3'',12.9,,,23.5,27.5,12.5,,3.59,6.0,,,,,,,,,,,,,,,,,,,,,,,,eric-chenowith-1,3.1
81,2001,2439,sam,clancy,Sam Clancy,PF,78.25,6' 6.25'',,,242.0,86.75,7' 2.75'',107.0,8' 11'',8.0,,,31.0,34.0,11.47,,3.13,15.0,,,,,,,,,,,,,,,,,,,,,,,,sam-clancy-1,6.2
82,2001,12036,gyasi,cline-heard,Gyasi Cline-Heard,PF,78.25,6' 6.25'',,,231.0,83.5,6' 11.5'',103.0,8' 7'',8.0,,,31.5,34.5,11.4,,3.23,11.0,,,,,,,,,,,,,,,,,,,,,,,,gyasi-cline-heard-1,4.6
83,2001,2215,jason,collins,Jason Collins,PF-C,82.25,6' 10.25'',,,251.0,88.5,7' 4.5'',110.0,9' 2'',12.9,,,25.5,28.5,12.1,,3.54,8.0,,,,,,,,,,,,,,,,,,,,,,,,jason-collins-1,7.5
84,2001,2260,jarron,collins,Jarron Collins,C-PF,81.25,6' 9.25'',,,252.0,87.0,7' 3'',104.0,8' 8'',15.2,,,23.0,29.0,11.65,,3.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,jarron-collins-1,4.8
85,2001,2241,omar,cook,Omar Cook,PG,71.5,5' 11.5'',,,189.0,77.5,6' 5.5'',92.0,7' 8'',5.5,,,31.0,35.5,10.77,,3.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,omar-cook-1,3.2
86,2001,2201,eddy,curry,Eddy Curry,C,82.5,6' 10.5'',,,301.0,90.5,7' 6.5'',111.0,9' 3'',16.5,,,28.0,31.0,12.25,,3.53,16.0,,,,,,,,,,,,,,,,,,,,,,,,eddy-curry-1,N/A
87,2001,12037,tate,decker,Tate Decker,SF,81.25,6' 9.25'',,,218.0,83.75,6' 11.75'',107.0,8' 11'',13.6,,,25.5,28.5,12.19,,3.47,13.0,,,,,,,,,,,,,,,,,,,,,,,,tate-decker-1,1.9
88,2001,2205,desagana,diop,DeSagana Diop,C,82.0,6' 10'',,,314.0,90.5,7' 6.5'',113.0,9' 5'',21.0,,,21.5,25.5,12.37,,3.56,15.0,,,,,,,,,,,,,,,,,,,,,,,,desagana-diop-1,N/A
