,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,College WS
63,2000,12029,jaquay,walls,Jaquay Walls,PG,74.13069306930693,165.5,74.5,96.5,6.420143540669856,8.291353383458647,8.971804511278195,28.5,35.5,10.75,4.7
64,2000,12030,jameel,watkins,Jameel Watkins,PF-C,82.11810344827587,244.5,90.0,110.0,9.297540983606558,9.235294117647058,9.875,28.0,30.5,12.38,1.4
65,2001,12033,adam,allenspach,Adam Allenspach,C,83.58010752688172,259.0,84.5,107.0,12.4,9.194029850746269,9.936567164179104,28.5,31.0,11.9,0.7
66,2001,2240,gilbert,arenas,Gilbert Arenas,SG,77.0844387755102,199.0,81.5,99.5,5.3,8.537337662337663,9.238636363636363,31.5,36.0,11.106666666666667,5.5
67,2001,2220,brandon,armstrong,Brandon Armstrong,SG,77.0844387755102,188.0,81.5,99.5,9.3,8.537337662337663,9.238636363636363,30.0,37.0,10.91,4.8
68,2001,2203,shane,battier,Shane Battier,SF-PF,80.2108695652174,229.0,82.5,105.0,9.3,8.732142857142858,9.482142857142858,29.5,33.0,10.95,10.1
69,2001,12034,cookie,belcher,Cookie Belcher,SG-PG,76.04464285714286,206.0,80.5,99.0,5.3,8.557692307692308,9.326923076923077,35.0,41.5,11.26,3.3
70,2001,2294,charlie,bell,Charlie Bell,PG,74.13069306930693,200.0,79.5,97.5,6.7,8.291353383458647,8.971804511278195,31.5,38.0,10.59,3.9
71,2001,2257,ruben,boumtje-boumtje,Ruben Boumtje-Boumtje,C,83.58010752688172,245.0,88.0,111.0,6.0,9.194029850746269,9.936567164179104,26.5,31.0,11.84,5.4
72,2001,12035,calvin,bowman,Calvin Bowman,PF,81.06697247706421,214.0,83.5,104.0,8.6,8.996644295302014,9.674496644295303,28.5,34.5,11.96,4.5
73,2001,2214,michael,bradley,Michael Bradley,PF,81.06697247706421,227.0,85.5,107.0,9.3,8.996644295302014,9.674496644295303,27.0,30.0,11.11,6.4
74,2001,2249,jamison,brewer,Jamison Brewer,PG,74.13069306930693,178.0,80.75,102.5,6.7,8.291353383458647,8.971804511278195,26.0,32.5,9.65,2.9
76,2001,12031,sirvaliant,brown,SirValiant Brown,PG,74.13069306930693,176.0,76.0,92.5,6.7,8.291353383458647,8.971804511278195,31.0,39.5,11.23,1.5
77,2001,2245,damone,brown,Damone Brown,SF,79.70833333333333,202.0,83.75,104.5,6.7,8.788461538461538,9.439903846153847,32.0,37.0,11.81,5.8
78,2001,12032,ryan,carroll,Ryan Carroll,SF-SG,78.57638888888889,202.0,80.25,99.0,8.0,8.7125,9.2875,34.5,39.0,11.0,0.0
80,2001,2251,eric,chenowith,Eric Chenowith,C,83.58010752688172,264.0,88.0,111.0,12.9,9.194029850746269,9.936567164179104,23.5,27.5,12.5,3.1
81,2001,2439,sam,clancy,Sam Clancy,PF,81.06697247706421,242.0,86.75,107.0,8.0,8.996644295302014,9.674496644295303,31.0,34.0,11.47,6.2
82,2001,12036,gyasi,cline-heard,Gyasi Cline-Heard,PF,81.06697247706421,231.0,83.5,103.0,8.0,8.996644295302014,9.674496644295303,31.5,34.5,11.4,4.6
83,2001,2215,jason,collins,Jason Collins,PF-C,82.11810344827587,251.0,88.5,110.0,12.9,9.235294117647058,9.875,25.5,28.5,12.1,7.5
84,2001,2260,jarron,collins,Jarron Collins,C-PF,82.78658536585365,252.0,87.0,104.0,15.2,8.895833333333334,9.916666666666666,23.0,29.0,11.65,4.8
85,2001,2241,omar,cook,Omar Cook,PG,74.13069306930693,189.0,77.5,92.0,5.5,8.291353383458647,8.971804511278195,31.0,35.5,10.77,3.2
87,2001,12037,tate,decker,Tate Decker,SF,79.70833333333333,218.0,83.75,107.0,13.6,8.788461538461538,9.439903846153847,25.5,28.5,12.19,1.9
90,2001,12039,anthony,evans,Anthony Evans,PF,81.06697247706421,267.0,83.5,101.5,12.9,8.996644295302014,9.674496644295303,31.5,33.0,12.56,3.3
91,2001,2230,maurice,evans,Maurice Evans,SG,77.0844387755102,221.0,80.0,101.0,4.0,8.537337662337663,9.238636363636363,34.5,37.5,10.08,6.8
93,2001,2386,kimani,ffriend,Kimani Ffriend,C-PF,82.78658536585365,228.0,82.75,108.5,11.7,8.895833333333334,9.916666666666666,32.0,33.0,11.46,3.6
94,2001,2228,alton,ford,Alton Ford,PF,81.06697247706421,271.0,82.5,102.5,8.0,8.996644295302014,9.674496644295303,34.5,36.5,11.7,1.2
95,2001,2218,joseph,forte,Joseph Forte,SG,77.0844387755102,193.0,78.5,100.5,6.669059405940595,8.537337662337663,9.238636363636363,26.5,33.0,11.51,4.8
96,2001,-1,jason,gardner,Jason Gardner,PG,74.13069306930693,188.0,73.25,92.5,8.0,8.291353383458647,8.971804511278195,34.5,40.0,10.88,3.8
97,2001,12151,jerry,green,Jerry Green,PG-SG,75.52222222222223,179.0,78.25,99.0,5.5,8.302631578947368,9.078947368421053,28.5,35.0,11.7,5.5
98,2001,12152,kenny,gregory,Kenny Gregory,SF,79.70833333333333,200.0,83.25,101.0,6.7,8.788461538461538,9.439903846153847,39.5,45.5,11.33,4.2
99,2001,2204,eddie,griffin,Eddie Griffin,PF-SF,80.90322580645162,222.0,87.0,110.0,4.0,8.886363636363637,9.613636363636363,26.5,33.0,11.77,4.6
100,2001,2239,trenton,hassell,Trenton Hassell,SG-SF,78.06458333333333,205.0,80.0,99.5,5.3,8.636904761904763,9.363095238095237,35.5,37.5,11.57,4.5
101,2001,2213,kirk,haston,Kirk Haston,PF-SF,80.90322580645162,242.0,84.25,106.0,10.5,8.886363636363637,9.613636363636363,27.0,31.5,12.25,4.3
102,2001,12153,charles,hathaway,Charles Hathaway,C,83.58010752688172,274.0,86.0,107.5,9.239619047619048,9.194029850746269,9.936567164179104,27.0531914893617,31.05851063829787,12.107659574468084,2.2
103,2001,2217,brendan,haywood,Brendan Haywood,C,83.58010752688172,266.0,90.5,113.5,12.9,9.194029850746269,9.936567164179104,27.0,28.5,12.87,5.4
104,2001,12154,michael,hicks,Michael Hicks,SG,77.0844387755102,197.0,81.25,100.5,7.3,8.537337662337663,9.238636363636363,33.0,40.5,11.38,1.7
105,2001,2212,steven,hunter,Steven Hunter,C-PF,82.78658536585365,224.0,88.0,108.0,5.3,8.895833333333334,9.916666666666666,30.5,38.5,11.99,3.5
106,2001,12155,andre,hutson,Andre Hutson,PF,81.06697247706421,244.0,83.75,105.5,11.7,8.996644295302014,9.674496644295303,29.0,32.5,11.25,6.5
107,2001,12156,nate,james,Nate James,SF,79.70833333333333,196.0,82.75,103.0,6.0,8.788461538461538,9.439903846153847,26.0,31.0,11.42,5.1
108,2001,2210,richard,jefferson,Richard Jefferson,SF,79.70833333333333,223.0,84.0,103.0,6.7,8.788461538461538,9.439903846153847,33.0,38.5,11.19,4.4
110,2001,12157,darrell,johns,Darrell Johns,C,83.58010752688172,278.0,89.0,111.5,19.1,9.194029850746269,9.936567164179104,23.5,30.0,12.41,1.0
112,2001,2207,joe,johnson,Joe Johnson,SF-SG,78.57638888888889,226.0,81.0,105.0,6.7,8.7125,9.2875,32.5,36.5,12.05,4.1
113,2001,12158,darren,kelly,Darren Kelly,SG-PG,76.04464285714286,178.0,78.75,100.0,6.7,8.557692307692308,9.326923076923077,30.5,34.5,11.38,0.8
114,2001,2253,sean,lampley,Sean Lampley,SF,79.70833333333333,213.0,81.25,101.0,8.0,8.788461538461538,9.439903846153847,36.0,40.0,11.06,4.9
115,2001,12159,zach,marbury,Zach Marbury,PG-SG,75.52222222222223,183.0,75.5,96.5,6.7,8.302631578947368,9.078947368421053,33.0,36.5,11.53,2.3
116,2001,12160,mike,mardesich,Mike Mardesich,C-PF,82.78658536585365,247.0,84.5,108.5,13.6,8.895833333333334,9.916666666666666,24.0,30.0,11.65,0.9
117,2001,12161,demarcus,minor,DeMarcus Minor,SG,77.0844387755102,207.0,80.25,99.5,6.7,8.537337662337663,9.238636363636363,29.0,41.0,10.57,0.0
119,2001,2211,troy,murphy,Troy Murphy,PF,81.06697247706421,230.0,83.0,105.5,11.7,8.996644295302014,9.674496644295303,28.5,34.5,11.22,5.5
120,2001,12162,troy,ostler,Troy Ostler,PF-SF,80.90322580645162,200.0,85.5,106.5,8.0,8.886363636363637,9.613636363636363,26.5,29.5,13.42,2.8
122,2001,12164,rashad,phillips,Rashad Phillips,PG,74.13069306930693,166.0,73.5,92.0,12.4,8.291353383458647,8.971804511278195,27.0,32.0,11.93,7.3
123,2001,12165,demetrius,porter,Demetrius Porter,PG,74.13069306930693,178.0,74.75,94.0,12.4,8.291353383458647,8.971804511278195,26.0,31.0,11.5,4.1
124,2001,12166,martin,rancik,Martin Rancik,PF-SF,80.90322580645162,230.0,80.0,102.5,8.0,8.886363636363637,9.613636363636363,32.0,37.0,10.77,4.0
125,2001,2202,jason,richardson,Jason Richardson,SF-SG,78.57638888888889,213.0,83.5,102.5,5.3,8.7125,9.2875,32.5,39.5,11.75,6.3
127,2001,2219,jeryl,sasser,Jeryl Sasser,PG-SG,75.52222222222223,194.0,82.5,103.5,6.7,8.302631578947368,9.078947368421053,29.0,34.0,11.47,2.9
128,2001,12167,kenny,satterfield,Kenny Satterfield,PG,74.13069306930693,176.0,76.5,98.0,6.7,8.291353383458647,8.971804511278195,28.5,33.0,12.05,4.6
129,2001,2243,brian,scalabrine,Brian Scalabrine,PF-SF,80.90322580645162,241.0,81.75,105.5,13.6,8.886363636363637,9.613636363636363,27.0,30.5,11.75,4.3
130,2001,12168,lee,scruggs,Lee Scruggs,PF-SF,80.90322580645162,209.0,89.75,110.5,10.5,8.886363636363637,9.613636363636363,23.5,29.5,13.28,1.7
131,2001,2250,bobby,simmons,Bobby Simmons,SF,79.70833333333333,235.0,84.25,105.0,6.7,8.788461538461538,9.439903846153847,27.5,34.0,11.69,3.9
132,2001,2226,will,solomon,Will Solomon,PG-SG,75.52222222222223,172.0,81.5,99.5,4.0,8.302631578947368,9.078947368421053,28.5,35.0,11.3,2.9
133,2001,12169,greg,stevenson,Greg Stevenson,SF,79.70833333333333,215.0,84.5,102.0,7.3,8.788461538461538,9.439903846153847,30.0,35.5,11.29,1.6
135,2001,2224,jamaal,tinsley,Jamaal Tinsley,PG,74.13069306930693,199.0,79.5,97.5,13.6,8.291353383458647,8.971804511278195,28.0,37.5,11.96,4.0
136,2001,12171,tory,walker,Tory Walker,SF,79.70833333333333,187.0,83.25,104.5,6.7,8.788461538461538,9.439903846153847,28.0,33.0,11.95,4.9
137,2001,12172,souleymane,wane,Souleymane Wane,C,83.58010752688172,235.0,89.0,109.0,11.2,9.194029850746269,9.936567164179104,29.0,30.5,12.02,1.8
138,2001,2248,earl,watson,Earl Watson,PG,74.13069306930693,184.0,78.75,97.0,4.0,8.291353383458647,8.971804511278195,32.5,37.5,10.97,4.0
139,2001,2206,rodney,white,Rodney White,SF,79.70833333333333,243.0,83.5,104.5,9.3,8.788461538461538,9.439903846153847,27.5,33.0,12.07,4.4
140,2001,2254,loren,woods,Loren Woods,C-PF,82.78658536585365,246.0,89.5,113.0,9.3,8.895833333333334,9.916666666666666,24.5,28.0,11.83,4.4
141,2001,12041,michael,wright,Michael Wright,PF,81.06697247706421,247.0,83.5,106.5,9.3,8.996644295302014,9.674496644295303,27.5,33.5,11.37,6.4
142,2001,12040,brent,wright,Brent Wright,PF-SF,80.90322580645162,236.0,85.5,105.5,12.4,8.886363636363637,9.613636363636363,23.0,29.0,12.25,3.4
144,2002,2425,robert,archibald,Robert Archibald,PF-C,82.11810344827587,250.0,83.75,109.5,9.297540983606558,9.235294117647058,9.875,24.0,27.5,11.34,4.9
145,2002,2486,maurice,baker,Maurice Baker,PG,74.13069306930693,178.0,76.0,96.0,6.420143540669856,8.291353383458647,8.971804511278195,29.5,33.0,12.19,3.6
146,2002,2440,matt,barnes,Matt Barnes,SF,79.70833333333333,226.0,81.0,96.5,6.9714285714285715,8.788461538461538,9.439903846153847,35.5,40.5,10.68,3.0
147,2002,12286,lubos,barton,Lubos Barton,SF-SG,78.57638888888889,221.0,84.0,107.0,6.669736842105263,8.7125,9.2875,25.5,31.5,11.2,5.5
148,2002,2437,lonny,baxter,Lonny Baxter,PF-C,82.11810344827587,264.0,85.5,107.5,9.297540983606558,9.235294117647058,9.875,28.0,32.5,11.77,5.8
150,2002,2430,carlos,boozer,Carlos Boozer,PF,81.06697247706421,258.0,86.25,108.5,8.297264573991031,8.996644295302014,9.674496644295303,26.5,28.5,10.77,8.5
151,2002,2414,curtis,borchardt,Curtis Borchardt,C,83.58010752688172,238.0,86.5,112.0,9.239619047619048,9.194029850746269,9.936567164179104,24.0,27.0,12.56,6.9
152,2002,2452,j.r.,bremer,J.R. Bremer,SG-PG,76.04464285714286,188.0,74.25,96.0,6.5390625,8.557692307692308,9.326923076923077,30.0,35.5,10.93,3.9
153,2002,12288,brian,brown,Brian Brown,PG-SG,75.52222222222223,194.0,79.0,99.0,7.0026,8.302631578947368,9.078947368421053,26.0,33.0,11.43,-0.1
155,2002,12290,chris,burgess,Chris Burgess,C,83.58010752688172,246.0,83.5,109.0,9.239619047619048,9.194029850746269,9.936567164179104,24.5,31.0,11.58,5.7
156,2002,2406,caron,butler,Caron Butler,SF-SG,78.57638888888889,222.0,83.5,103.5,6.669736842105263,8.7125,9.2875,27.0,31.0,12.15,5.7
157,2002,2446,rasual,butler,Rasual Butler,SF,79.70833333333333,198.0,84.0,105.5,6.9714285714285715,8.788461538461538,9.439903846153847,31.5,37.5,11.54,5.5
158,2002,12291,mire,chatman,Mire Chatman,PG-SG,75.52222222222223,174.0,78.0,98.0,7.0026,8.302631578947368,9.078947368421053,29.0,33.0,11.12,5.6
159,2002,12042,chris,christoffersen,Chris Christoffersen,C,83.58010752688172,291.0,87.5,109.0,9.239619047619048,9.194029850746269,9.936567164179104,28.0,31.0,12.55,2.9
161,2002,12044,craig,dawson,Craig Dawson,SG-SF,78.06458333333333,200.0,78.25,102.0,6.6845070422535215,8.636904761904763,9.363095238095237,26.0,30.0,12.06,3.0
163,2002,12045,teddy,dupay,Teddy Dupay,PG,74.13069306930693,178.0,70.75,90.5,6.420143540669856,8.291353383458647,8.971804511278195,28.0,33.0,10.53,2.9
164,2002,2451,corsley,edwards,Corsley Edwards,PF,81.06697247706421,285.0,82.75,106.5,8.297264573991031,8.996644295302014,9.674496644295303,28.5,33.0,12.18,6.4
165,2002,12046,andy,ellis,Andy Ellis,PF,81.06697247706421,220.0,82.25,102.0,8.297264573991031,8.996644295302014,9.674496644295303,32.0,35.5,11.69,5.6
166,2002,2408,melvin,ely,Melvin Ely,PF,81.06697247706421,240.0,88.0,111.0,8.297264573991031,8.996644295302014,9.674496644295303,26.0,29.0,11.96,6.7
167,2002,2501,reggie,evans,Reggie Evans,PF,81.06697247706421,250.0,86.5,107.5,8.297264573991031,8.996644295302014,9.674496644295303,26.0,29.5,12.73,4.5
169,2002,2400,drew,gooden,Drew Gooden,PF,81.06697247706421,227.0,84.5,106.5,8.297264573991031,8.996644295302014,9.674496644295303,29.0,33.0,11.81,6.6
170,2002,12066,david,graves,David Graves,SG,77.0844387755102,212.0,79.0,101.0,6.669059405940595,8.537337662337663,9.238636363636363,26.0,29.5,11.2,4.5
171,2002,2696,lynn,greer,Lynn Greer,PG,74.13069306930693,170.0,73.0,94.5,6.420143540669856,8.291353383458647,8.971804511278195,29.5,36.5,11.24,5.0
172,2002,12067,rod,grizzard,Rod Grizzard,SF-SG,78.57638888888889,193.0,84.0,107.0,6.669736842105263,8.7125,9.2875,30.75,36.375,11.206279069767442,4.7
173,2002,101219,anthony,grundy,Anthony Grundy,PG-SG,75.52222222222223,167.0,79.75,99.0,7.0026,8.302631578947368,9.078947368421053,27.5,32.0,11.1,5.3
174,2002,2409,marcus,haislip,Marcus Haislip,PF,81.06697247706421,221.0,84.0,107.0,8.297264573991031,8.996644295302014,9.674496644295303,33.5,36.5,11.35,3.5
175,2002,12068,damon,hancock,Damon Hancock,SG-PG,76.04464285714286,203.0,78.0,99.5,6.5390625,8.557692307692308,9.326923076923077,32.0,35.0,11.62,2.9
176,2002,12069,greg,harrington,Greg Harrington,PG,74.13069306930693,183.0,75.75,97.0,6.420143540669856,8.291353383458647,8.971804511278195,28.5,34.0,12.06,4.2
177,2002,2617,udonis,haslem,Udonis Haslem,PF,81.06697247706421,250.0,83.0,107.0,8.297264573991031,8.996644295302014,9.674496644295303,28.5,33.5,11.8,6.3
178,2002,12070,cordell,henry,Cordell Henry,PG,74.13069306930693,155.0,73.0,92.0,6.420143540669856,8.291353383458647,8.971804511278195,33.0,37.5,11.3,4.0
179,2002,2450,randy,holcomb,Randy Holcomb,SF-PF,80.2108695652174,225.0,85.0,105.0,7.656875,8.732142857142858,9.482142857142858,29.5,35.5,12.85,1.3
180,2002,2415,ryan,humphrey,Ryan Humphrey,PF-SF,80.90322580645162,223.0,84.0,104.5,8.627380952380953,8.886363636363637,9.613636363636363,31.5,37.5,11.75,8.0
181,2002,2407,jared,jeffries,Jared Jeffries,PF,81.06697247706421,230.0,84.5,109.0,8.297264573991031,8.996644295302014,9.674496644295303,26.0,30.0,11.73,5.0
182,2002,12049,jason,jennings,Jason Jennings,C,83.58010752688172,249.0,91.0,111.0,9.239619047619048,9.194029850746269,9.936567164179104,29.0,32.0,11.92,3.6
183,2002,2410,fred,jones,Fred Jones,SG,77.0844387755102,218.0,84.0,100.0,6.669059405940595,8.537337662337663,9.238636363636363,33.5,37.5,11.12,6.6
184,2002,2495,lonnie,jones,Lonnie Jones,C-PF,82.78658536585365,230.0,86.25,112.0,10.178125,8.895833333333334,9.916666666666666,30.5,31.5,11.8,3.6
